Plant ID,Technology,Installed Capacity (MW),Max Capacity (MW),Capacity Fraction
62667,Wind,0.0,896.29277,0.0
81968,Wind,686.50003,686.50003,1.0
63217,Wind,0.0,669.88278,0.0
95341,Wind,0.0,199.40697,0.0
63220,Wind,0.0,1374.03863,0.0
80699,Wind,0.0,2451.04397,0.0
93596,Wind,0.0,7577.46475,0.0
94167,Wind,0.0,8275.38914,0.0
139775,Wind,0.0,6.23147,0.0
139778,Wind,2098.96604,2098.96604,1.0
75713,Wind,0.0,1594.21716,0.0
70867,Wind,0.0,2162.3193,0.0
62666,Wind,0.0,729.08172,0.0
94165,Wind,0.0,1673.14908,0.0
68495,Wind,3223.74597,3223.74597,1.0
80700,Wind,2096.88889,2096.88889,1.0
132274,Wind,0.0,1254.60217,0.0
140343,Wind,140.20802,140.20802,1.0
94169,Wind,0.0,475.6687,0.0
80654,Wind,0.0,186.94403,0.0
139185,Wind,0.0,1631.60597,0.0
138046,Wind,1707.42216,1707.42216,1.0
81970,Wind,1925.0516276457536,2397.03792,0.8030960259676465
93597,Wind,0.0,3018.10753,0.0
66740,Wind,158.90243,158.90243,1.0
93008,Wind,0.0,2872.70662,0.0
93009,Wind,0.0,4586.36024,0.0
63780,Wind,0.0,1299.26102,0.0
93595,Wind,0.0,7328.20604,0.0
68496,Wind,3115.73386,3115.73386,1.0
81967,Wind,445.54994,445.54994,1.0
64356,Wind,0.0,1067.65814,0.0
138631,Wind,0.0,153.70954,0.0
99419,Wind,0.0,5180.42684,0.0
82571,Wind,893.17704,893.17704,1.0
83752,Wind,0.0,866.17401,0.0
67334,Wind,0.0,3867.6643,0.0
93010,Wind,0.0,2131.16196,0.0
76904,Wind,0.0,1300.2996,0.0
68456,Wind,0.0,420.62407,0.0
60984,Wind,0.0,1384.42441,0.0
62668,Wind,0.0,1326.26405,0.0
138033,Wind,0.0,263.7988,0.0
140913,Wind,17.65583,17.65583,1.0
78797,Wind,0.0,2604.75351,0.0
139763,Wind,0.0,2235.01976,0.0
84343,Wind,0.0,86.20197,0.0
81335,Wind,0.0,2156.08783,0.0
76905,Wind,662.61273,662.61273,1.0
64357,Wind,0.0,1352.2285,0.0
98821,Wind,0.0,4270.63255,0.0
71466,Wind,0.0,2428.19526,0.0
62118,Wind,0.0,459.05146,0.0
138633,Wind,0.0,1957.71944,0.0
93035,Wind,0.0,1871.51747,0.0
71474,Wind,0.0,4060.8398,0.0
138053,Wind,0.0,3788.73238,0.0
96501,Wind,0.0,133.97656,0.0
101213,Wind,0.0,209.79275,0.0
83_GAS,Thermal,4897.0,4897.0,1.0
83_Coal,Thermal,0.0,0.0,0.0
