Hour,Technology,Charging power (MW),Discharging power (MW),State of charge (MWh)
1,Li-Ion,0.0,-0.0,0.0
1,CAES,0.0,0.0,21342.799709464914
1,PHS,0.0,521.6089838961341,32711.226105551887
1,H2,1291.3734530267106,0.0,58861.43689026143
2,Li-Ion,0.0,-0.0,0.0
2,CAES,0.0,0.0,21342.799709464914
2,PHS,0.0,197.75926221324653,32487.59435847497
2,H2,1291.3734530267106,0.0,59718.03713184448
3,Li-Ion,-0.0,0.0,-0.0
3,CAES,260.6965544513546,0.0,21550.070685348972
3,PHS,0.0,0.0,32487.59435847497
3,H2,1291.3734530267106,0.0,60574.63737342753
4,Li-Ion,-0.0,0.0,0.0
4,CAES,535.7259926423217,0.0,21976.008226161965
4,PHS,0.0,0.0,32487.59435847497
4,H2,1291.3734530267106,0.0,61431.237615010585
5,Li-Ion,0.0,0.0,0.0
5,CAES,362.7167436544189,0.0,22264.391989364973
5,PHS,0.0,0.0,32487.59435847497
5,H2,1291.3734530267106,0.0,62287.83785659363
6,Li-Ion,0.0,0.0,0.0
6,CAES,23.848105485586984,0.0,22283.3528080355
6,PHS,0.0,0.0,32487.59435847497
6,H2,1291.3734530267106,0.0,63144.43809817668
7,Li-Ion,0.0,0.0,0.0
7,CAES,1072.512986373098,0.0,23136.071455590005
7,PHS,2344.0904495235013,0.0,34560.49144897367
7,H2,1291.3734530267106,0.0,64001.03833975973
8,Li-Ion,0.0,0.0,0.0
8,CAES,1072.512986373098,0.0,23988.79010314451
8,PHS,20759.175083379338,0.0,52917.988549922775
8,H2,1291.3734530267106,0.0,64857.638581342784
9,Li-Ion,0.0,0.0,-0.0
9,CAES,1072.512986373098,0.0,24841.508750699017
9,PHS,20759.175083379338,0.0,71275.48565087188
9,H2,1291.3734530267106,0.0,65714.23882292584
10,Li-Ion,-0.0,0.0,0.0
10,CAES,1072.512986373098,0.0,25694.227398253523
10,PHS,20759.175083379338,0.0,89632.982751821
10,H2,1291.3734530267106,0.0,66570.83906450888
11,Li-Ion,0.0,0.0,0.0
11,CAES,1072.512986373098,0.0,26546.94604580803
11,PHS,20759.175083379338,0.0,107990.4798527701
11,H2,1291.3734530267106,0.0,67427.43930609194
12,Li-Ion,0.0,0.0,0.0
