Hour,Technology,Charging power (MW),Discharging power (MW),State of charge (MWh)
1,Li-Ion,0.0,-0.0,0.0
1,CAES,0.0,0.0,0.0
1,PHS,0.0,1693.3630540408374,57248.57008912529
1,H2,0.0,0.0,53740.29781015651
2,Li-Ion,0.0,0.0,0.0
2,CAES,0.0,0.0,0.0
2,PHS,0.0,1079.6414422804373,56027.68111911352
2,H2,0.0,0.0,53740.29781015651
3,Li-Ion,0.0,0.0,0.0
3,CAES,0.0,0.0,-0.0
3,PHS,0.0,369.7378370551936,55609.57115280543
3,H2,0.0,0.0,53740.29781015651
4,Li-Ion,0.0,0.0,0.0
4,CAES,0.0,-0.0,0.0
4,PHS,0.0,47.87211943645141,55555.43601098684
4,H2,0.0,0.0,53740.29781015651
5,Li-Ion,0.0,0.0,0.0
5,CAES,0.0,-0.0,0.0
5,PHS,0.0,221.89325607008078,55304.51286349841
5,H2,0.0,0.0,53740.29781015651
6,Li-Ion,0.0,0.0,0.0
6,CAES,0.0,0.0,0.0
6,PHS,0.0,626.1955352024377,54596.39330448588
6,H2,0.0,0.0,53740.29781015651
7,Li-Ion,0.0,-0.0,0.0
7,CAES,0.0,0.0,0.0
7,PHS,2459.5830298625815,0.0,56771.42136600053
7,H2,1361.5528013518617,0.0,54643.449765024794
8,Li-Ion,0.0,-0.0,0.0
8,CAES,0.0,0.0,-0.0
8,PHS,27400.9041731663,0.0,81002.25023573809
8,H2,1361.5528013518617,0.0,55546.60171989308
9,Li-Ion,0.0,0.0,0.0
9,CAES,-0.0,0.0,0.0
9,PHS,28374.388879589,0.0,106093.93906759818
9,H2,0.0,0.0,55546.60171989308
10,Li-Ion,0.0,-0.0,0.0
10,CAES,0.0,0.0,0.0
10,PHS,28374.388879589,0.0,131185.62789945828
10,H2,1361.5528013518617,0.0,56449.75367476136
11,Li-Ion,0.0,-0.0,0.0
11,CAES,0.0,0.0,0.0
11,PHS,28374.388879589,0.0,156277.31673131837
11,H2,1361.5528013518617,0.0,57352.90562962965
12,Li-Ion,0.0,0.0,-0.0
12,CAES,0.0,0.0,-0.0
12,PHS,28374.388879589,0.0,181369.00556317848
12,H2,1361.5528013518617,0.0,58256.05758449793
13,Li-Ion,0.0,0.0,0.0
13,CAES,-0.0,0.0,0.0
13,PHS,28374.388879589,0.0,206460.6943950386
13,H2,1361.5528013518617,0.0,59159.20953936622
14,Li-Ion,0.0,0.0,0.0
14,CAES,-0.0,0.0,0.0
14,PHS,28374.388879589,0.0,231552.38322689867
14,H2,1361.5528013518617,0.0,60062.3614942345
15,Li-Ion,0.0,0.0,0.0
15,CAES,-0.0,0.0,0.0
15,PHS,28374.388879589,0.0,256644.07205875876
15,H2,1361.5528013518617,0.0,60965.513449102786
16,Li-Ion,0.0,0.0,0.0
16,CAES,0.0,0.0,0.0
16,PHS,0.0,0.0,256644.07205875876
16,H2,1361.5528013518617,0.0,61868.66540397107
17,Li-Ion,0.0,0.0,0.0
17,CAES,0.0,0.0,-0.0
17,PHS,0.0,1582.0229505732373,254855.07592076255
17,H2,0.0,0.0,61868.66540397107
18,Li-Ion,0.0,0.0,0.0
18,CAES,0.0,0.0,0.0
18,PHS,0.0,4983.376765868551,249219.7330295053
18,H2,0.0,0.0,61868.66540397107
19,Li-Ion,0.0,-0.0,-0.0
19,CAES,0.0,-0.0,0.0
19,PHS,0.0,5517.6885364012915,242980.1753298455
19,H2,0.0,0.0,61868.66540397107
20,Li-Ion,0.0,-0.0,0.0
20,CAES,0.0,0.0,0.0
20,PHS,0.0,5475.243597156819,236788.61556369122
20,H2,0.0,0.0,61868.66540397107
21,Li-Ion,0.0,0.0,0.0
21,CAES,0.0,0.0,0.0
21,PHS,0.0,5314.980711417545,230778.28558535248
21,H2,0.0,0.0,61868.66540397107
22,Li-Ion,0.0,-0.0,0.0
22,CAES,0.0,0.0,-0.0
22,PHS,0.0,4782.976819250145,225369.56060151878
22,H2,0.0,0.0,61868.66540397107
23,Li-Ion,0.0,-0.0,0.0
23,CAES,0.0,0.0,0.0
23,PHS,0.0,3618.539449560099,221277.6142121796
23,H2,0.0,0.0,61868.66540397107
24,Li-Ion,0.0,0.0,0.0
24,CAES,0.0,-0.0,0.0
24,PHS,0.0,2074.932533149237,218931.22202674282
24,H2,0.0,0.0,61868.66540397107
25,Li-Ion,0.0,0.0,-0.0
25,CAES,0.0,0.0,0.0
25,PHS,0.0,1559.5663783868777,217167.6204134591
25,H2,0.0,0.0,61868.66540397107
26,Li-Ion,0.0,0.0,0.0
26,CAES,0.0,0.0,0.0
26,PHS,0.0,1432.986812308784,215547.15854083523
26,H2,0.0,0.0,61868.66540397107
27,Li-Ion,0.0,-0.0,0.0
27,CAES,0.0,0.0,0.0
27,PHS,0.0,1539.6930362749576,213806.0302628937
27,H2,0.0,0.0,61868.66540397107
28,Li-Ion,0.0,-0.0,0.0
28,CAES,0.0,-0.0,0.0
28,PHS,0.0,1745.482236135917,211832.18975807872
28,H2,0.0,0.0,61868.66540397107
29,Li-Ion,0.0,0.0,0.0
29,CAES,0.0,0.0,-0.0
29,PHS,0.0,2907.3752891801023,208544.4478437379
29,H2,0.0,0.0,61868.66540397107
30,Li-Ion,0.0,0.0,0.0
30,CAES,0.0,-0.0,0.0
30,PHS,0.0,4547.907773321573,203401.54556189233
30,H2,0.0,0.0,61868.66540397107
31,Li-Ion,0.0,0.0,0.0
31,CAES,0.0,0.0,0.0
31,PHS,0.0,1521.723982693219,201680.73719615536
31,H2,0.0,0.0,61868.66540397107
32,Li-Ion,0.0,-0.0,0.0
32,CAES,0.0,0.0,-0.0
32,PHS,20418.235259015964,0.0,219736.73860605652
32,H2,1361.5528013518617,0.0,62771.817358839355
33,Li-Ion,0.0,0.0,0.0
33,CAES,-0.0,0.0,0.0
33,PHS,28374.388879589,0.0,244828.4274379166
33,H2,1361.5528013518617,0.0,63674.96931370764
34,Li-Ion,0.0,-0.0,0.0
34,CAES,-0.0,0.0,0.0
34,PHS,28374.388879589,0.0,269920.1162697767
34,H2,1361.5528013518617,0.0,64578.121268575924
35,Li-Ion,0.0,-0.0,0.0
35,CAES,0.0,0.0,0.0
35,PHS,25688.907992581117,0.0,292637.0138394651
35,H2,1361.5528013518617,0.0,65481.27322344421
36,Li-Ion,0.0,-0.0,0.0
36,CAES,0.0,0.0,0.0
36,PHS,25802.800738478403,0.0,315454.6276343518
36,H2,1361.5528013518617,0.0,66384.4251783125
37,Li-Ion,0.0,-0.0,0.0
37,CAES,0.0,0.0,-0.0
37,PHS,28374.388879588998,0.0,340546.3164662119
37,H2,1361.5528013518617,0.0,67287.57713318078
38,Li-Ion,0.0,-0.0,-0.0
38,CAES,-0.0,0.0,0.0
38,PHS,28374.388879589,0.0,365638.005298072
38,H2,1361.5528013518617,0.0,68190.72908804906
39,Li-Ion,0.0,-0.0,0.0
39,CAES,0.0,0.0,0.0
39,PHS,21938.85606478774,0.0,385038.70330220094
39,H2,1361.5528013518617,0.0,69093.88104291735
40,Li-Ion,0.0,-0.0,0.0
40,CAES,0.0,-0.0,0.0
40,PHS,0.0,573.0904486477198,384390.63647170283
40,H2,0.0,638.2989311431377,68131.60919805976
41,Li-Ion,0.0,0.0,0.0
41,CAES,0.0,-0.0,-0.0
41,PHS,0.0,12838.659866329497,369872.3180683018
41,H2,0.0,638.2989311431377,67169.33735320217
42,Li-Ion,0.0,0.0,0.0
42,CAES,0.0,0.0,0.0
42,PHS,0.0,16374.572045787929,351355.49052124226
42,H2,0.0,638.2989311431377,66207.06550834459
43,Li-Ion,0.0,0.0,0.0
43,CAES,0.0,-0.0,0.0
43,PHS,0.0,17667.194046814337,331376.9295859994
43,H2,0.0,638.2989311431377,65244.793663487006
44,Li-Ion,0.0,0.0,-0.0
44,CAES,0.0,-0.0,0.0
44,PHS,0.0,17131.73557169818,312003.88018501905
44,H2,0.0,638.2989311431377,64282.52181862942
45,Li-Ion,0.0,0.0,0.0
45,CAES,0.0,0.0,0.0
45,PHS,0.0,17804.20837233985,291870.3795890548
45,H2,0.0,638.2989311431377,63320.24997377184
46,Li-Ion,0.0,0.0,0.0
46,CAES,0.0,0.0,0.0
46,PHS,0.0,17464.795733946696,272120.6963701092
46,H2,0.0,638.2989311431377,62357.97812891425
47,Li-Ion,0.0,0.0,0.0
47,CAES,0.0,-0.0,-0.0
47,PHS,0.0,16561.09260699516,253392.9461158059
