Hour,Technology,Charging power (MW),Discharging power (MW),State of charge (MWh)
1,Li-Ion,0.0,0.0,0.0
1,CAES,711.8353026611571,0.0,2852.5625625843477
1,PHS,0.0,0.0,0.0
1,H2,2994.460985027113,0.0,620995.5177823855
2,Li-Ion,-0.0,0.0,0.0
2,CAES,1441.2668536458932,0.0,3998.4648852798864
2,PHS,0.0,0.0,0.0
2,H2,2994.46098502737,0.0,622981.8184897242
3,Li-Ion,0.0,0.0,-0.0
3,CAES,4088.4259056546275,0.0,7249.033459452687
3,PHS,0.0,0.0,0.0
3,H2,752.4117748371445,0.0,623480.9119987203
4,Li-Ion,0.0,0.0,0.0
4,CAES,4523.364051778142,0.0,10845.406580931256
4,PHS,0.0,-0.0,-0.0
4,H2,795.7149402444365,0.0,624008.7295780944
5,Li-Ion,0.0,0.0,-0.0
5,CAES,4523.364051778142,0.0,14441.779702409825
5,PHS,0.0,0.0,0.0
5,H2,701.422139381415,0.0,624474.0003892897
6,Li-Ion,0.0,0.0,-0.0
6,CAES,4523.364051778142,0.0,18038.152823888395
6,PHS,0.0,0.0,0.0
6,H2,859.7831738618452,0.0,625044.3160270419
7,Li-Ion,0.0,0.0,0.0
7,CAES,4523.364051778142,0.0,21634.525945366964
7,PHS,0.0,0.0,0.0
7,H2,1027.0351686131455,0.0,625725.5740871998
8,Li-Ion,246.42467283027509,0.0,228.52484037053165
8,CAES,4523.364051778142,0.0,25230.899066845534
8,PHS,0.0,0.0,0.0
8,H2,2994.460985027113,0.0,627711.8747945384
9,Li-Ion,412.6598236758218,0.0,611.2098176893414
9,CAES,4523.364051778142,0.0,28827.272188324103
9,PHS,0.0,0.0,0.0
9,H2,2994.460985027113,0.0,629698.175501877
10,Li-Ion,0.0,566.8126669952434,0.0
10,CAES,4421.168758223864,0.0,32342.393302961493
10,PHS,0.0,-0.0,-0.0
10,H2,2994.460985027113,0.0,631684.4762092156
11,Li-Ion,0.0,0.0,0.0
11,CAES,4122.415954585876,0.0,35619.98621056729
11,PHS,0.0,0.0,0.0
11,H2,2994.460985027113,0.0,633670.7769165542
12,Li-Ion,694.745558064529,0.0,644.28052569307
12,CAES,4523.364051778142,0.0,39216.35933204586
12,PHS,0.0,0.0,0.0
12,H2,2994.460985027113,0.0,635657.0776238928
13,Li-Ion,1385.943324793393,0.0,1929.5514907443517
13,CAES,4523.364051778142,0.0,42812.732453524426
13,PHS,0.0,0.0,0.0
13,H2,2994.460985027113,0.0,637643.3783312314
14,Li-Ion,791.8572037624753,0.0,2663.8896518046718
14,CAES,4523.364051778142,0.0,46409.10557500299
14,PHS,0.0,0.0,0.0
14,H2,2994.460985027113,0.0,639629.67903857
15,Li-Ion,1215.6879897048832,0.0,3791.272314412591
15,CAES,4523.364051778139,0.0,50005.47869648156
15,PHS,0.0,0.0,-0.0
15,H2,2994.460985027113,0.0,641615.9797459086
16,Li-Ion,268.1614797028074,0.0,4039.9550402077366
16,CAES,4523.364051778148,0.0,53601.85181796013
16,PHS,0.0,0.0,0.0
16,H2,2994.460985027113,0.0,643602.2804532473
17,Li-Ion,0.0,974.6135285973687,2989.002244305307
17,CAES,4523.364051778142,0.0,57198.224939438696
17,PHS,0.0,0.0,0.0
17,H2,2994.460985027113,0.0,645588.5811605859
18,Li-Ion,0.0,1385.943324793393,1494.5011221526536
18,CAES,4523.364051778142,0.0,60794.59806091726
18,PHS,0.0,0.0,0.0
18,H2,1698.1535076018556,0.0,646715.0087648141
19,Li-Ion,0.0,1385.943324793393,-0.0
19,CAES,4523.364051778142,0.0,64390.97118239583
19,PHS,0.0,0.0,0.0
19,H2,2803.5080632844156,0.0,648574.6456333442
20,Li-Ion,0.0,0.0,-0.0
20,CAES,4523.364051778142,0.0,67987.3443038744
20,PHS,0.0,0.0,0.0
20,H2,2994.460985027113,0.0,650560.9463406828
21,Li-Ion,0.0,0.0,-0.0
21,CAES,4523.364051778142,0.0,71583.71742535297
21,PHS,0.0,0.0,-0.0
21,H2,2994.460985027113,0.0,652547.2470480214
22,Li-Ion,0.0,0.0,0.0
22,CAES,4523.364051778142,0.0,75180.09054683153
22,PHS,-0.0,0.0,-0.0
22,H2,2994.460985027113,0.0,654533.54775536
23,Li-Ion,0.0,-0.0,0.0
23,CAES,4523.364051778142,0.0,78776.4636683101
23,PHS,-0.0,0.0,0.0
23,H2,2994.460985027113,0.0,656519.8484626986
24,Li-Ion,-0.0,0.0,0.0
24,CAES,4523.364051778142,0.0,82372.83678978866
24,PHS,0.0,0.0,-0.0
24,H2,2994.460985027113,0.0,658506.1491700372
25,Li-Ion,-0.0,0.0,0.0
25,CAES,4523.364051778142,0.0,85969.20991126723
25,PHS,-0.0,0.0,0.0
25,H2,2994.460985027113,0.0,660492.4498773759
26,Li-Ion,1135.695867449444,0.0,1053.2010201637202
26,CAES,4523.364051778142,0.0,89565.5830327458
26,PHS,0.0,0.0,0.0
26,H2,2994.460985027113,0.0,662478.7505847145
27,Li-Ion,1385.943324793393,0.0,2338.471985215002
27,CAES,4523.364051778142,0.0,93161.95615422436
27,PHS,0.0,0.0,0.0
27,H2,2994.460985027113,0.0,664465.0512920531
28,Li-Ion,1385.943324793393,0.0,3623.742950266284
28,CAES,4523.364051778142,0.0,96758.32927570293
28,PHS,0.0,0.0,-0.0
28,H2,2994.460985027113,0.0,666451.3519993917
29,Li-Ion,925.8835660233417,0.0,4482.372046521242
29,CAES,4523.364051778142,0.0,100354.70239718149
29,PHS,0.0,0.0,0.0
29,H2,2994.460985027113,0.0,668437.6527067303
30,Li-Ion,0.0,-0.0,4482.372046521242
30,CAES,4523.364051778142,0.0,103951.07551866006
30,PHS,0.0,0.0,0.0
30,H2,2994.460985027113,0.0,670423.9534140689
31,Li-Ion,0.0,0.0,4482.372046521242
31,CAES,4523.364051778142,0.0,107547.44864013862
31,PHS,0.0,0.0,0.0
31,H2,2994.460985027113,0.0,672410.2541214075
32,Li-Ion,0.0,0.0,4482.372046521242
32,CAES,4523.364051778142,0.0,111143.82176161719
32,PHS,0.0,0.0,0.0
32,H2,2994.460985027113,0.0,674396.5548287461
