Scenario,Hour,Solar PV Generation (MW),Solar PV Curtailment (MW),Wind Generation (MW),Wind Curtailment (MW),All Thermal Generation (MW),Hydro Generation (MW),Nuclear Generation (MW),Other Renewables Generation (MW),Imports (MW),Storage Charge/Discharge (MW),Exports (MW),Load (MW),Net Load (MW)
GenMix_Target=1.0_P_Capexx1.0_load_datax1.0,1,0.0,0.0,18697.667251996623,0.0,0.0,2350.85995,2272.82328,1789.27366,0,-1816.96467800338,0,26927.58882,1816.9646780033772
GenMix_Target=1.0_P_Capexx1.0_load_datax1.0,2,0.0,0.0,18937.339416444564,0.0,0.0,2359.65165,2273.72072,1778.90751,0,-658.7234835554336,0,26008.34278,658.7234835554364
GenMix_Target=1.0_P_Capexx1.0_load_datax1.0,3,0.0,0.0,19179.29288,0.0,0.0,2063.74177,2274.35167,1775.3033,0,0.0,0,25292.68962,0.0
GenMix_Target=1.0_P_Capexx1.0_load_datax1.0,4,0.0,0.0,19558.509856202163,0.0,0.0,1929.00365,2274.18453,1772.69607,0,638.6220262021634,0,24895.77208,-638.6220262021643
GenMix_Target=1.0_P_Capexx1.0_load_datax1.0,5,0.0,0.0,19713.053769196747,0.0,0.0,1978.7031,2273.92119,1776.05623,0,808.4395091967453,0,24933.29478,-808.4395091967472
GenMix_Target=1.0_P_Capexx1.0_load_datax1.0,6,0.0,0.0,20404.28345129884,0.0,0.0,2274.47982,2274.6642,1774.67763,0,1229.378911298838,0,25498.72619,-1229.37891129884
GenMix_Target=1.0_P_Capexx1.0_load_datax1.0,7,1240.8934895296916,0.0,21313.00538262426,0.0,0.0,2541.02594,2274.96771,1777.01514,0,2722.4936821539477,0,26424.41398,-2722.4936821539486
GenMix_Target=1.0_P_Capexx1.0_load_datax1.0,8,5419.231400758545,0.0,23270.72597144321,0.0,0.0,2377.80212,2274.36005,1772.26723,0,8707.865912201756,0,26406.52086,-8707.865912201754
GenMix_Target=1.0_P_Capexx1.0_load_datax1.0,9,6714.3299825520935,0.0,22865.277644112,0.0,0.0,1850.3501,2273.97646,1765.77912,0,9807.175126664093,0,25662.53818,-9807.175126664093
GenMix_Target=1.0_P_Capexx1.0_load_datax1.0,10,6520.647818089475,0.0,20374.64024401388,0.0,0.0,1856.33584,2273.79651,1728.63502,0,7845.154822103356,0,24908.90061,-7845.154822103354
GenMix_Target=1.0_P_Capexx1.0_load_datax1.0,11,6117.996821145731,0.0,19540.904919726545,0.0,0.0,1690.7218,2273.82441,1729.4593,0,7181.423100872275,0,24171.48415,-7181.423100872275
GenMix_Target=1.0_P_Capexx1.0_load_datax1.0,12,6059.284515151906,0.0,19775.496049592835,0.0,0.0,1591.59286,2273.3104,1717.51558,0,7979.67267474474,0,23437.52673,-7979.672674744741
GenMix_Target=1.0_P_Capexx1.0_load_datax1.0,13,6387.230664657664,0.0,20087.63189804035,0.0,0.0,1502.94835,2273.2278,1725.88248,0,9063.201822698014,0,22913.71937,-9063.201822698016
GenMix_Target=1.0_P_Capexx1.0_load_datax1.0,14,6691.520793640931,0.0,20344.413003414622,0.0,0.0,1568.58219,2272.73277,1728.15225,0,9607.764227055552,0,22997.63678,-9607.764227055553
GenMix_Target=1.0_P_Capexx1.0_load_datax1.0,15,5793.634845627819,0.0,20658.894403639868,0.0,0.0,1691.31252,2273.15628,1732.26885,0,8380.366639267686,0,23768.90026,-8380.366639267686
GenMix_Target=1.0_P_Capexx1.0_load_datax1.0,16,2003.0479141820458,0.0,22850.0094292396,0.0,0.0,2100.98322,2272.64222,1788.5111,0,5793.124013421642,0,25222.06987,-5793.124013421647
GenMix_Target=1.0_P_Capexx1.0_load_datax1.0,17,0.0,0.0,25059.320070761387,0.0,0.0,2797.40289,2272.26654,1865.41948,0,3863.7273607613893,0,28130.68162,-3863.7273607613874
GenMix_Target=1.0_P_Capexx1.0_load_datax1.0,18,0.0,0.0,28106.999028340164,0.0,0.0,3241.56259,2272.95466,1964.17257,0,3397.9834083401634,0,32187.70544,-3397.983408340162
GenMix_Target=1.0_P_Capexx1.0_load_datax1.0,19,0.0,0.0,30662.698893668243,0.0,0.0,3443.81907,2273.316,1970.43835,0,5323.173483668241,0,33027.09883,-5323.17348366824
