Hour,Technology,Charging power (MW),Discharging power (MW),State of charge (MWh)
1,Li-Ion,0.0,0.0,0.0
1,CAES,0.0,1816.96467800338,828.5141794051956
1,PHS,0.0,-0.0,-0.0
1,H2,0.0,0.0,0.0
2,Li-Ion,0.0,-0.0,0.0
2,CAES,0.0,658.7234835554336,0.0
2,PHS,0.0,-0.0,0.0
2,H2,0.0,0.0,0.0
3,Li-Ion,0.0,0.0,0.0
3,CAES,-0.0,0.0,-0.0
3,PHS,0.0,0.0,0.0
3,H2,0.0,0.0,0.0
4,Li-Ion,0.0,0.0,0.0
4,CAES,638.6220262021634,0.0,507.7466822319545
4,PHS,0.0,0.0,0.0
4,H2,-0.0,0.0,0.0
5,Li-Ion,0.0,0.0,0.0
5,CAES,808.4395091967453,0.0,1150.509477340957
5,PHS,0.0,0.0,0.0
5,H2,0.0,0.0,0.0
6,Li-Ion,0.0,0.0,0.0
6,CAES,1229.378911298838,0.0,2127.946893851729
6,PHS,0.0,0.0,0.0
6,H2,0.0,0.0,0.0
7,Li-Ion,0.0,0.0,0.0
7,CAES,2722.4936821539477,0.0,4292.509151016233
7,PHS,0.0,0.0,0.0
7,H2,0.0,0.0,0.0
8,Li-Ion,0.0,0.0,-0.0
8,CAES,8707.865912201756,0.0,11215.837575083977
8,PHS,0.0,0.0,0.0
8,H2,0.0,0.0,0.0
9,Li-Ion,0.0,0.0,0.0
9,CAES,9807.175126664093,0.0,19013.189417525915
9,PHS,0.0,0.0,0.0
9,H2,0.0,0.0,0.0
10,Li-Ion,0.0,0.0,0.0
10,CAES,7845.154822103356,0.0,25250.60555584436
10,PHS,0.0,0.0,0.0
10,H2,0.0,0.0,-0.0
11,Li-Ion,0.0,0.0,0.0
11,CAES,7181.423100872275,0.0,30960.311146264314
11,PHS,0.0,0.0,0.0
11,H2,0.0,0.0,0.0
12,Li-Ion,0.0,0.0,0.0
12,CAES,7979.67267474474,0.0,37304.67786031816
12,PHS,0.0,0.0,0.0
12,H2,0.0,0.0,0.0
13,Li-Ion,0.0,0.0,0.0
13,CAES,9063.201822698014,0.0,44510.5217978349
13,PHS,0.0,0.0,-0.0
13,H2,0.0,0.0,0.0
14,Li-Ion,0.0,0.0,-0.0
14,CAES,9607.764227055552,0.0,52149.32880699063
14,PHS,0.0,0.0,0.0
14,H2,0.0,0.0,0.0
15,Li-Ion,0.0,-0.0,0.0
15,CAES,8380.366639267686,0.0,58812.27368266349
15,PHS,0.0,0.0,0.0
15,H2,0.0,0.0,0.0
16,Li-Ion,0.0,0.0,0.0
16,CAES,5793.124013421642,0.0,63418.18982223922
16,PHS,0.0,0.0,0.0
16,H2,0.0,0.0,0.0
17,Li-Ion,0.0,0.0,0.0
17,CAES,3863.7273607613893,0.0,66490.108215255
17,PHS,0.0,0.0,0.0
17,H2,0.0,0.0,0.0
18,Li-Ion,0.0,0.0,0.0
18,CAES,3397.9834083401634,0.0,69191.7294106971
18,PHS,0.0,0.0,0.0
18,H2,0.0,0.0,0.0
19,Li-Ion,0.0,0.0,0.0
19,CAES,5323.173483668241,0.0,73424.00384593879
19,PHS,0.0,0.0,0.0
19,H2,0.0,0.0,0.0
20,Li-Ion,0.0,0.0,0.0
20,CAES,9186.55144997618,0.0,80727.91888253349
20,PHS,0.0,-0.0,0.0
20,H2,0.0,0.0,0.0
21,Li-Ion,0.0,0.0,0.0
21,CAES,11435.667717092378,0.0,89820.02987186324
21,PHS,0.0,0.0,0.0
21,H2,0.0,0.0,0.0
22,Li-Ion,0.0,-0.0,0.0
22,CAES,12472.068376662226,0.0,99736.14782426164
22,PHS,0.0,0.0,0.0
22,H2,0.0,0.0,0.0
23,Li-Ion,0.0,0.0,0.0
23,CAES,14005.683572551125,0.0,110871.59112966096
23,PHS,0.0,-0.0,0.0
23,H2,0.0,0.0,-0.0
24,Li-Ion,195.05037823875136,0.0,180.88227951883172
24,CAES,16062.18755739328,0.0,123642.09090423668
24,PHS,0.0,0.0,0.0
24,H2,0.0,0.0,0.0
25,Li-Ion,1133.0679867529561,0.0,1231.6463033794612
25,CAES,16062.18755739328,0.0,136412.5906788124
25,PHS,0.0,0.0,0.0
25,H2,0.0,0.0,0.0
26,Li-Ion,-0.0,0.0,1231.6463033794612
26,CAES,16062.18755739328,0.0,149183.09045338814
26,PHS,0.0,0.0,0.0
26,H2,0.0,0.0,0.0
27,Li-Ion,1306.8777276161145,0.0,2443.5948499966808
27,CAES,16062.18755739328,0.0,161953.59022796387
27,PHS,0.0,0.0,0.0
27,H2,0.0,0.0,0.0
28,Li-Ion,773.4164936459583,0.0,3160.83180001634
28,CAES,16062.18755739328,0.0,174724.0900025396
28,PHS,0.0,0.0,0.0
28,H2,0.0,0.0,-0.0
29,Li-Ion,0.0,134.54597294203631,3015.7471461593946
29,CAES,16062.18755739328,0.0,187494.58977711532
29,PHS,0.0,0.0,0.0
29,H2,0.0,0.0,0.0
30,Li-Ion,0.0,1335.3951557910295,1575.7535164455505
30,CAES,16062.18755739328,0.0,200265.08955169105
30,PHS,0.0,0.0,0.0
30,H2,0.0,0.0,0.0
31,Li-Ion,0.0,1461.2936954451845,4.547473508864641e-13
31,CAES,16062.18755739328,0.0,213035.58932626678
31,PHS,0.0,0.0,0.0
31,H2,0.0,0.0,0.0
32,Li-Ion,0.0,0.0,0.0
32,CAES,16062.18755739328,0.0,225806.0891008425
32,PHS,0.0,0.0,-0.0
32,H2,0.0,0.0,0.0
33,Li-Ion,-0.0,0.0,0.0
33,CAES,16062.18755739328,0.0,238576.5888754182
33,PHS,0.0,0.0,0.0
33,H2,0.0,0.0,0.0
34,Li-Ion,528.7247750355133,0.0,490.31918527961415
34,CAES,16062.18755739328,0.0,251347.08864999394
34,PHS,0.0,0.0,0.0
34,H2,0.0,0.0,-0.0
35,Li-Ion,352.27967224920303,0.0,817.0099136953515
35,CAES,16062.18755739328,0.0,264117.58842456964
35,PHS,0.0,0.0,0.0
35,H2,-0.0,0.0,0.0
36,Li-Ion,1288.6783330790413,0.0,2012.0810361339886
36,CAES,16062.18755739328,0.0,276888.08819914534
36,PHS,0.0,0.0,0.0
36,H2,0.0,0.0,0.0
37,Li-Ion,1465.4696097350081,0.0,3371.1016438765328
37,CAES,16062.18755739328,0.0,289658.58797372103
37,PHS,0.0,0.0,0.0
37,H2,0.0,0.0,0.0
38,Li-Ion,896.8116893036258,0.0,4202.770590766818
38,CAES,16062.18755739328,0.0,302429.08774829673
38,PHS,0.0,0.0,0.0
38,H2,0.0,0.0,0.0
39,Li-Ion,0.0,-0.0,4202.770590766818
39,CAES,14302.935494623373,0.0,313800.86596077215
39,PHS,0.0,0.0,-0.0
39,H2,0.0,0.0,0.0
40,Li-Ion,0.0,0.0,4202.770590766818
40,CAES,9843.595716043625,0.0,321627.1745768042
40,PHS,0.0,-0.0,0.0
40,H2,0.0,0.0,0.0
41,Li-Ion,0.0,0.0,4202.770590766818
41,CAES,6419.518613228416,0.0,326731.11578718957
41,PHS,0.0,0.0,0.0
41,H2,0.0,0.0,0.0
42,Li-Ion,0.0,0.0,4202.770590766818
42,CAES,2473.287506058947,0.0,328697.5426780304
42,PHS,0.0,0.0,0.0
42,H2,0.0,0.0,-0.0
43,Li-Ion,0.0,-0.0,4202.770590766818
43,CAES,587.6457155749116,0.0,329164.75982709334
43,PHS,0.0,0.0,0.0
43,H2,0.0,0.0,0.0
44,Li-Ion,0.0,0.0,4202.770590766818
44,CAES,1439.4986659868873,0.0,330309.25632383773
44,PHS,0.0,0.0,0.0
44,H2,0.0,0.0,0.0
45,Li-Ion,0.0,0.0,4202.770590766818
45,CAES,886.878736848393,0.0,331014.3834846637
45,PHS,0.0,0.0,-0.0
45,H2,0.0,0.0,0.0
46,Li-Ion,0.0,0.0,4202.770590766818
46,CAES,1111.693667072825,0.0,331898.25336067047
46,PHS,0.0,0.0,0.0
46,H2,0.0,0.0,0.0
47,Li-Ion,0.0,0.0,4202.770590766818
47,CAES,1361.3890564196965,0.0,332980.6475598414
47,PHS,0.0,0.0,0.0
47,H2,0.0,0.0,0.0
48,Li-Ion,0.0,0.0,4202.770590766818
48,CAES,2744.5802753035773,0.0,335162.7701170479
48,PHS,0.0,0.0,0.0
48,H2,0.0,0.0,-0.0
49,Li-Ion,0.0,0.0,4202.770590766818
49,CAES,3375.7713893318755,0.0,337846.7312906079
49,PHS,0.0,0.0,0.0
49,H2,0.0,0.0,0.0
50,Li-Ion,0.0,0.0,4202.770590766818
50,CAES,4127.291419660736,0.0,341128.2005148995
50,PHS,0.0,0.0,0.0
50,H2,0.0,0.0,0.0
51,Li-Ion,0.0,0.0,4202.770590766818
51,CAES,4908.540829265296,0.0,345030.8146096263
51,PHS,0.0,0.0,-0.0
51,H2,0.0,0.0,0.0
52,Li-Ion,0.0,0.0,4202.770590766818
52,CAES,3581.989495115051,0.0,347878.7327948952
52,PHS,0.0,-0.0,0.0
52,H2,0.0,0.0,0.0
53,Li-Ion,-0.0,0.0,4202.770590766818
53,CAES,1940.079022187103,0.0,349421.2237306392
53,PHS,0.0,0.0,0.0
53,H2,0.0,0.0,0.0
54,Li-Ion,0.0,0.0,4202.770590766818
54,CAES,-0.0,0.0,349421.2237306392
54,PHS,0.0,0.0,0.0
54,H2,0.0,0.0,-0.0
55,Li-Ion,0.0,591.1284739979802,3565.3403640596293
55,CAES,0.0,1567.6085083904663,347449.5529015569
55,PHS,0.0,-0.0,0.0
55,H2,0.0,-0.0,0.0
56,Li-Ion,0.0,669.1753903741264,2843.7499830242737
56,CAES,0.0,0.0,347449.5529015569
56,PHS,0.0,-0.0,0.0
56,H2,0.0,-0.0,0.0
57,Li-Ion,1465.4696097350081,0.0,4202.770590766818
57,CAES,0.0,0.0,347449.5529015569
57,PHS,0.0,0.0,0.0
57,H2,0.0,0.0,0.0
58,Li-Ion,0.0,0.0,4202.770590766818
58,CAES,0.0,569.5508375074014,346733.1962563983
58,PHS,0.0,-0.0,-0.0
58,H2,0.0,-0.0,0.0
59,Li-Ion,0.0,-0.0,4202.770590766818
59,CAES,0.0,1554.1256371934078,344778.4836051322
59,PHS,0.0,-0.0,0.0
59,H2,0.0,0.0,0.0
60,Li-Ion,0.0,0.0,4202.770590766818
60,CAES,0.0,2299.809099764282,341885.88223802234
60,PHS,0.0,-0.0,0.0
60,H2,0.0,0.0,0.0
61,Li-Ion,0.0,0.0,4202.770590766818
61,CAES,0.0,3744.056741601409,337176.76805528294
61,PHS,0.0,-0.0,0.0
61,H2,0.0,0.0,-0.0
62,Li-Ion,0.0,0.0,4202.770590766818
62,CAES,0.0,6153.434715975194,329437.2414686305
62,PHS,0.0,-0.0,0.0
62,H2,0.0,0.0,0.0
63,Li-Ion,0.0,0.0,4202.770590766818
63,CAES,0.0,8406.740443619992,318863.6034642217
63,PHS,0.0,-0.0,0.0
63,H2,0.0,0.0,0.0
64,Li-Ion,0.0,0.0,4202.770590766818
64,CAES,0.0,7808.097809144842,309042.9125209714
64,PHS,0.0,-0.0,-0.0
64,H2,0.0,0.0,0.0
65,Li-Ion,0.0,0.0,4202.770590766818
65,CAES,0.0,7605.066722209491,299477.5853814799
65,PHS,0.0,-0.0,0.0
65,H2,0.0,0.0,0.0
66,Li-Ion,0.0,0.0,4202.770590766818
66,CAES,0.0,9335.423130361438,287735.8900763347
66,PHS,0.0,-0.0,0.0
66,H2,0.0,0.0,0.0
67,Li-Ion,0.0,0.0,4202.770590766818
67,CAES,0.0,12528.583983133954,271977.9738382964
67,PHS,0.0,-0.0,0.0
67,H2,0.0,0.0,-0.0
68,Li-Ion,0.0,0.0,4202.770590766818
68,CAES,0.0,12908.604490962447,255742.08408472282
68,PHS,0.0,-0.0,0.0
68,H2,0.0,0.0,0.0
69,Li-Ion,0.0,0.0,4202.770590766818
69,CAES,0.0,13857.072561257535,238313.25182253978
69,PHS,0.0,-0.0,0.0
69,H2,0.0,0.0,0.0
70,Li-Ion,0.0,0.0,4202.770590766818
