Scenario,Hour,Solar PV Generation (MW),Solar PV Curtailment (MW),Wind Generation (MW),Wind Curtailment (MW),All Thermal Generation (MW),Hydro Generation (MW),Nuclear Generation (MW),Other Renewables Generation (MW),Imports (MW),Storage Charge/Discharge (MW),Exports (MW),Load (MW),Net Load (MW)
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,1,0.0,0.0,13822.29011739139,0.0,4897.0,2350.85995,2272.82328,1789.27366,0,-1795.34181260861,0,26927.58882,6692.34181260861
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,2,0.0,0.0,13554.170125844616,0.0,4897.0,2359.65165,2273.72072,1778.90751,0,-1144.8927741553823,0,26008.34278,6041.892774155383
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,3,0.0,0.0,13832.447510454176,0.0,4897.0,2063.74177,2274.35167,1775.3033,0,-449.84536954582495,0,25292.68962,5346.845369545825
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,4,0.0,0.0,13898.024356738646,0.0,4897.0,1929.00365,2274.18453,1772.69607,0,-124.86347326135342,0,24895.77208,5021.863473261353
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,5,0.0,0.0,13711.26607460038,0.0,4897.0,1978.7031,2273.92119,1776.05623,0,-296.34818539962174,0,24933.29478,5193.34818539962
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,6,0.0,0.0,13572.862437627486,0.0,4897.0,2274.47982,2274.6642,1774.67763,0,-705.0421023725182,0,25498.72619,5602.042102372516
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,7,5228.899011844054,0.0,13551.62386130836,0.0,4897.0,2541.02594,2274.96771,1777.01514,0,3846.1176831524135,0,26424.41398,1050.8823168475865
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,8,30620.202656117057,0.0,13763.805898494473,0.0,4897.0,2377.80212,2274.36005,1772.26723,0,29298.917094611534,0,26406.52086,-24401.91709461153
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,9,36056.50353079738,6383.490315029434,13331.103570239387,0.0,0.0,1850.3501,2273.97646,1765.77912,0,29615.174601036775,0,25662.53818,-35998.664916066205
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,10,35950.80157774415,4856.257733850733,12714.506263292622,0.0,0.0,1856.33584,2273.79651,1728.63502,0,29615.174601036775,0,24908.90061,-34471.432334887504
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,11,37772.55462934803,0.0,10320.098611688743,3144.0542362107753,0.0,1690.7218,2273.82441,1729.4593,0,29615.174601036775,0,24171.48415,-32759.22883724755
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,12,33419.95553726563,3693.3378691640974,14050.326953771142,0.0,0.0,1591.59286,2273.3104,1717.51558,0,29615.174601036775,0,23437.52673,-33308.51247020087
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,13,32796.26645765456,6675.491538124428,14230.568883382211,0.0,0.0,1502.94835,2273.2278,1725.88248,0,29615.174601036775,0,22913.71937,-36290.6661391612
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,14,32679.21304214337,9325.093845329327,14364.131128893403,0.0,0.0,1568.58219,2272.73277,1728.15225,0,29615.174601036775,0,22997.63678,-38940.2684463661
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,15,33790.44322730646,2570.2743677145772,13896.893983730313,0.0,0.0,1691.31252,2273.15628,1732.26885,0,29615.174601036775,0,23768.90026,-32185.448968751352
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,16,12182.815364395768,0.0,14197.34076247718,0.0,4897.0,2100.98322,2272.64222,1788.5111,0,12217.222796872948,0,25222.06987,-7320.22279687295
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,17,0.0,0.0,14601.140704106441,0.0,4897.0,2797.40289,2272.26654,1865.41948,0,-1697.4520058935534,0,28130.68162,6594.452005893558
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,18,0.0,0.0,14704.281584587461,0.0,4897.0,3241.56259,2272.95466,1964.17257,0,-5107.734035412538,0,32187.70544,10004.73403541254
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,19,0.0,0.0,14799.320095713987,0.0,4897.0,3443.81907,2273.316,1970.43835,0,-5643.205314286015,0,33027.09883,10540.205314286017
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,20,0.0,0.0,14789.171077662533,0.0,4897.0,3278.70458,2272.44109,1967.35514,0,-5601.427092337466,0,32806.09898,10498.42709233747
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,21,0.0,0.0,14920.981289038464,0.0,4897.0,2893.49016,2272.43881,1887.29345,0,-5439.337980961532,0,32310.54169,10336.337980961534
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,22,0.0,0.0,14661.917042663277,0.0,4897.0,2554.17395,2272.75623,1847.9486,0,-4907.479027336724,0,31141.27485,9804.479027336725
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,23,0.0,0.0,14257.985050290346,0.0,4897.0,2272.69783,2273.49363,1801.85677,0,-3739.8530097096527,0,29242.88629,8636.853009709652
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,24,0.0,0.0,14083.098851530445,0.0,4897.0,2125.45029,2274.43377,1781.79636,0,-2190.3615884695528,0,27352.14086,7087.361588469554
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,25,0.0,0.0,13532.69204746076,0.0,4897.0,1976.73049,2272.10748,1779.85401,0,-1671.5314025392438,0,26129.91543,6568.531402539242
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,26,0.0,0.0,12876.587890387877,0.0,4897.0,1916.08734,2271.68539,1775.86374,0,-1532.7045296121207,0,25269.92889,6429.704529612122
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,27,0.0,0.0,12524.097661936463,0.0,4897.0,1767.92297,2272.17995,1779.45385,0,-1624.0472680635364,0,24864.7017,6521.0472680635385
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,28,0.0,0.0,12420.012900987509,0.0,4897.0,1813.7194,2271.74,1778.60586,0,-1820.7778090124918,0,25001.85597,6717.777809012492
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,29,0.0,0.0,12171.203886153273,0.0,4897.0,1853.20168,2271.91046,1777.53263,0,-2969.365503846726,0,25940.21416,7866.365503846727
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,30,0.0,0.0,11943.298180282705,0.0,4897.0,2374.9343,2271.79811,1813.03012,0,-4603.361259717294,0,27903.42197,9500.361259717294
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,31,5260.119962931921,0.0,11721.710210655796,0.0,4897.0,3071.83127,2271.83689,1823.61862,0,-1464.6429664122845,0,30510.75992,6361.642966412283
GenMix_Target=0.0_P_Capexx1.2_load_datax1.0,32,30602.384735279524,0.0,11505.82159169675,0.0,4897.0,3060.75883,2271.82665,1817.28301,0,22375.71206697627,0,31779.36275,-17478.712066976273
