Hour,Technology,Charging power (MW),Discharging power (MW),State of charge (MWh)
1,Li-Ion,0.0,-0.0,0.0
1,CAES,0.0,456.0301039115256,0.0
1,PHS,0.0,-0.0,-0.0
1,H2,0.0,-0.0,0.0
2,Li-Ion,0.0,0.0,0.0
2,CAES,679.2199409062341,0.0,540.024705304717
2,PHS,-0.0,0.0,0.0
2,H2,0.0,0.0,0.0
3,Li-Ion,-0.0,0.0,0.0
3,CAES,1321.6833486917494,0.0,1590.8502448657605
3,PHS,0.0,0.0,-0.0
3,H2,0.0,0.0,0.0
4,Li-Ion,-0.0,0.0,0.0
4,CAES,1886.1651278613026,0.0,3090.4760744171144
4,PHS,-0.0,0.0,-0.0
4,H2,0.0,0.0,0.0
5,Li-Ion,0.0,0.0,0.0
5,CAES,2003.0638976084665,0.0,4683.044145326952
5,PHS,0.0,0.0,0.0
5,H2,0.0,0.0,-0.0
6,Li-Ion,0.0,0.0,0.0
6,CAES,2259.2405445457407,0.0,6479.289567175085
6,PHS,0.0,0.0,-0.0
6,H2,-0.0,0.0,-0.0
7,Li-Ion,0.0,0.0,0.0
7,CAES,3041.683576444747,0.0,8897.628868003312
7,PHS,0.0,0.0,-0.0
7,H2,-0.0,0.0,0.0
8,Li-Ion,0.0,0.0,0.0
8,CAES,6987.000501079478,0.0,14452.755652892934
8,PHS,0.0,0.0,-0.0
8,H2,0.0,0.0,0.0
9,Li-Ion,0.0,0.0,-0.0
9,CAES,7665.413497080973,0.0,20547.265568601386
9,PHS,0.0,0.0,-0.0
9,H2,0.0,0.0,0.0
10,Li-Ion,0.0,0.0,-0.0
10,CAES,6360.369996378207,0.0,25604.179722712288
10,PHS,0.0,0.0,-0.0
10,H2,0.0,0.0,0.0
11,Li-Ion,-0.0,0.0,0.0
11,CAES,6033.801639534862,0.0,30401.450468193467
11,PHS,0.0,0.0,-0.0
11,H2,0.0,0.0,-0.0
12,Li-Ion,0.0,0.0,0.0
12,CAES,6847.008761297259,0.0,35845.274575602605
12,PHS,0.0,0.0,-0.0
12,H2,-0.0,0.0,-0.0
13,Li-Ion,0.0,0.0,0.0
13,CAES,7810.109827474867,0.0,42054.827628995416
13,PHS,0.0,0.0,-0.0
13,H2,-0.0,0.0,0.0
14,Li-Ion,0.0,0.0,0.0
14,CAES,8136.781765822434,0.0,48524.106445153804
14,PHS,0.0,0.0,-0.0
14,H2,0.0,0.0,0.0
15,Li-Ion,0.0,0.0,-0.0
15,CAES,7033.301290972533,0.0,54116.04541548074
15,PHS,0.0,0.0,-0.0
15,H2,0.0,0.0,0.0
16,Li-Ion,0.0,0.0,-0.0
16,CAES,5154.535785247522,0.0,58214.24174448867
16,PHS,0.0,0.0,-0.0
16,H2,0.0,0.0,0.0
17,Li-Ion,0.0,0.0,0.0
17,CAES,3744.058348361592,0.0,61191.015370304165
17,PHS,0.0,0.0,-0.0
17,H2,0.0,0.0,0.0
18,Li-Ion,0.0,0.0,0.0
18,CAES,2644.6483525750737,0.0,63293.68544993765
18,PHS,0.0,0.0,-0.0
18,H2,0.0,0.0,-0.0
19,Li-Ion,0.0,0.0,0.0
19,CAES,4072.1451995705647,0.0,66531.3097876773
19,PHS,0.0,0.0,-0.0
19,H2,-0.0,0.0,0.0
20,Li-Ion,0.0,0.0,0.0
20,CAES,7209.103606588302,0.0,72263.02320802351
20,PHS,0.0,0.0,-0.0
20,H2,0.0,0.0,0.0
21,Li-Ion,0.0,0.0,-0.0
21,CAES,8806.690090026306,0.0,79264.9233793157
21,PHS,0.0,0.0,-0.0
21,H2,0.0,0.0,0.0
22,Li-Ion,0.0,0.0,0.0
22,CAES,9706.548184239102,0.0,86982.2701576303
22,PHS,0.0,0.0,-0.0
22,H2,0.0,0.0,-0.0
23,Li-Ion,0.0,-0.0,0.0
23,CAES,11109.865705364104,0.0,95815.34703330239
23,PHS,-0.0,0.0,-0.0
23,H2,-0.0,0.0,0.0
24,Li-Ion,647.2884619571196,0.0,600.2706252726512
24,CAES,12231.940867788991,0.0,105540.54775932814
24,PHS,-0.0,0.0,-0.0
24,H2,0.0,0.0,-0.0
25,Li-Ion,751.3477816264616,0.0,1297.0418936967333
25,CAES,12231.940867788991,0.0,115265.74848535389
25,PHS,-0.0,0.0,-0.0
25,H2,-0.0,0.0,-0.0
26,Li-Ion,1291.2524736805863,0.0,2494.5001759246197
26,CAES,12231.940867788991,0.0,124990.94921137964
26,PHS,-0.0,0.0,-0.0
26,H2,-0.0,0.0,0.0
27,Li-Ion,0.0,0.0,2494.5001759246197
27,CAES,12231.940867788991,0.0,134716.1499374054
27,PHS,-0.0,0.0,-0.0
27,H2,0.0,0.0,-0.0
28,Li-Ion,1226.0863592231144,0.0,3631.525889721266
28,CAES,12231.940867788991,0.0,144441.35066343113
28,PHS,-0.0,0.0,-0.0
28,H2,-0.0,0.0,0.0
29,Li-Ion,0.0,0.0,3631.525889721266
29,CAES,12231.940867788991,0.0,154166.5513894569
29,PHS,-0.0,0.0,-0.0
29,H2,0.0,0.0,0.0
30,Li-Ion,0.0,353.3833975708876,3250.4627720800454
30,CAES,12231.940867788991,0.0,163891.75211548264
30,PHS,-0.0,0.0,-0.0
30,H2,0.0,0.0,-0.0
31,Li-Ion,0.0,773.3176757711735,2416.572876623615
31,CAES,12231.940867788991,0.0,173616.95284150838
31,PHS,-0.0,0.0,-0.0
31,H2,-0.0,0.0,-0.0
32,Li-Ion,665.0856424219073,0.0,3033.3479280888587
32,CAES,12231.940867788991,0.0,183342.15356753411
32,PHS,-0.0,0.0,-0.0
32,H2,-0.0,0.0,0.0
33,Li-Ion,121.16393626504032,0.0,3145.710740122313
33,CAES,12231.940867788991,0.0,193067.35429355988
33,PHS,-0.0,0.0,-0.0
33,H2,0.0,0.0,0.0
34,Li-Ion,0.0,220.38669342133653,2908.061656834726
34,CAES,12231.940867788991,0.0,202792.55501958562
34,PHS,-0.0,0.0,-0.0
34,H2,0.0,0.0,0.0
35,Li-Ion,0.0,527.4977811658537,2339.2461708169812
35,CAES,12231.940867788991,0.0,212517.75574561133
35,PHS,-0.0,0.0,-0.0
35,H2,0.0,0.0,0.0
36,Li-Ion,466.2624695230261,0.0,2771.6401969294047
36,CAES,12231.940867788991,0.0,222242.95647163707
36,PHS,-0.0,0.0,-0.0
36,H2,0.0,0.0,0.0
37,Li-Ion,745.0138012789212,0.0,3462.5375736233827
37,CAES,12231.940867788991,0.0,231968.1571976628
37,PHS,-0.0,0.0,-0.0
37,H2,0.0,0.0,0.0
38,Li-Ion,182.22478763814,0.0,3631.525889721266
38,CAES,12231.940867788991,0.0,241693.35792368854
38,PHS,-0.0,0.0,-0.0
38,H2,0.0,0.0,-0.0
39,Li-Ion,0.0,-0.0,3631.525889721266
39,CAES,10273.205986298044,0.0,249861.2350738842
39,PHS,0.0,0.0,-0.0
39,H2,0.0,0.0,0.0
40,Li-Ion,0.0,-0.0,3631.525889721266
40,CAES,7031.063700644776,0.0,255451.3950121413
40,PHS,0.0,0.0,-0.0
40,H2,0.0,0.0,0.0
41,Li-Ion,0.0,-0.0,3631.525889721266
41,CAES,4353.162096847301,0.0,258912.4463401649
41,PHS,0.0,0.0,-0.0
41,H2,0.0,0.0,0.0
42,Li-Ion,0.0,0.0,3631.525889721266
42,CAES,658.6661591561008,0.0,259436.1294317094
42,PHS,-0.0,0.0,0.0
42,H2,0.0,0.0,0.0
43,Li-Ion,0.0,836.1541547909646,2729.877676354398
43,CAES,0.0,0.0,259436.1294317094
43,PHS,0.0,0.0,0.0
43,H2,0.0,0.0,-0.0
44,Li-Ion,0.0,0.0,2729.877676354398
44,CAES,0.0,0.0,259436.1294317094
44,PHS,0.0,0.0,0.0
44,H2,-0.0,0.0,-0.0
45,Li-Ion,0.0,265.74756289629977,2443.314709562766
45,CAES,0.0,0.0,259436.1294317094
45,PHS,0.0,0.0,0.0
45,H2,-0.0,0.0,0.0
46,Li-Ion,0.0,0.0,2443.3147095627655
46,CAES,60.63926255210163,0.0,259484.34164975164
46,PHS,0.0,0.0,-0.0
46,H2,0.0,0.0,0.0
47,Li-Ion,0.0,0.0,2443.3147095627655
47,CAES,729.9179448095424,0.0,260064.67461600184
47,PHS,0.0,0.0,-0.0
47,H2,0.0,0.0,0.0
48,Li-Ion,1281.281067078215,0.0,3631.525889721266
48,CAES,698.0506671227763,0.0,260619.67099213557
48,PHS,0.0,0.0,-0.0
48,H2,0.0,0.0,0.0
49,Li-Ion,-0.0,0.0,3631.525889721266
49,CAES,2706.3538967252716,0.0,262771.4010540937
49,PHS,0.0,0.0,-0.0
49,H2,0.0,0.0,-0.0
50,Li-Ion,0.0,0.0,3631.525889721266
50,CAES,3457.849370946005,0.0,265520.61964305583
50,PHS,0.0,0.0,-0.0
50,H2,-0.0,0.0,-0.0
51,Li-Ion,-0.0,0.0,3631.525889721266
51,CAES,4150.930318330351,0.0,268820.8833527843
51,PHS,0.0,0.0,-0.0
51,H2,-0.0,0.0,0.0
52,Li-Ion,0.0,0.0,3631.525889721266
52,CAES,3072.57012400507,0.0,271263.77949851594
52,PHS,-0.0,0.0,-0.0
52,H2,0.0,0.0,0.0
53,Li-Ion,0.0,0.0,3631.525889721266
53,CAES,1694.0577826461645,0.0,272610.66730281396
53,PHS,-0.0,0.0,-0.0
53,H2,0.0,0.0,0.0
54,Li-Ion,0.0,0.0,3631.525889721266
54,CAES,101.3294759245232,0.0,272691.23092746525
54,PHS,-0.0,0.0,-0.0
54,H2,0.0,0.0,0.0
55,Li-Ion,0.0,0.0,3631.525889721266
55,CAES,0.0,2296.1608714523786,269803.21814564435
55,PHS,0.0,-0.0,0.0
55,H2,0.0,0.0,0.0
56,Li-Ion,0.0,785.2336184178896,2784.78670285555
56,CAES,0.0,1027.428574325194,268510.9624975537
56,PHS,0.0,-0.0,0.0
56,H2,0.0,-0.0,-0.0
57,Li-Ion,0.0,0.0,2784.78670285555
57,CAES,0.0,508.8341958679946,267870.9726432867
57,PHS,0.0,-0.0,0.0
57,H2,0.0,-0.0,0.0
58,Li-Ion,0.0,1291.2524736805863,1392.393351427775
58,CAES,0.0,181.61398748647161,267642.54634975514
58,PHS,0.0,-0.0,0.0
58,H2,0.0,-0.0,0.0
59,Li-Ion,0.0,0.0,1392.393351427775
59,CAES,0.0,2018.7624820639433,265103.433378993
59,PHS,0.0,-0.0,-0.0
59,H2,0.0,-0.0,0.0
60,Li-Ion,0.0,0.0,1392.393351427775
60,CAES,0.0,2327.9192305032966,262175.4762936135
60,PHS,0.0,0.0,-0.0
60,H2,0.0,-0.0,0.0
61,Li-Ion,0.0,0.0,1392.393351427775
61,CAES,0.0,3394.8430597053557,257905.58812044573
61,PHS,0.0,0.0,0.0
61,H2,0.0,-0.0,0.0
62,Li-Ion,0.0,0.0,1392.393351427775
62,CAES,0.0,5502.678491931668,250984.55483548355
62,PHS,0.0,0.0,0.0
62,H2,0.0,-0.0,-0.0
63,Li-Ion,0.0,0.0,1392.393351427775
63,CAES,0.0,7220.796562836324,241902.5462411949
63,PHS,0.0,0.0,0.0
63,H2,0.0,-0.0,-0.0
64,Li-Ion,0.0,0.0,1392.393351427775
64,CAES,0.0,5795.658534126805,234613.01520975612
64,PHS,0.0,0.0,0.0
64,H2,0.0,-0.0,0.0
65,Li-Ion,0.0,0.0,1392.393351427775
65,CAES,0.0,5072.214787819497,228233.4007317435
65,PHS,0.0,0.0,-0.0
65,H2,0.0,-0.0,0.0
66,Li-Ion,0.0,0.0,1392.393351427775
66,CAES,0.0,6731.707366603327,219766.54757701163
66,PHS,0.0,-0.0,-0.0
66,H2,0.0,-0.0,0.0
67,Li-Ion,0.0,0.0,1392.393351427775
67,CAES,0.0,9447.026345375722,207884.48252884857
67,PHS,0.0,0.0,-0.0
67,H2,0.0,-0.0,0.0
68,Li-Ion,0.0,0.0,1392.393351427775
