Hour,Technology,Charging power (MW),Discharging power (MW),State of charge (MWh)
1,Li-Ion,0.0,-0.0,-0.0
1,CAES,0.0,0.0,23010.955056198745
1,PHS,0.0,334.6559764817199,28244.394424833543
1,H2,1239.4624796305513,0.0,56716.07932843379
2,Li-Ion,0.0,-0.0,0.0
2,CAES,0.0,0.0,23010.955056198745
2,PHS,0.0,29.18028856354249,28211.39653215008
2,H2,1239.4624796305513,0.0,57538.24572576541
3,Li-Ion,0.0,0.0,0.0
3,CAES,469.6490925137887,0.0,23384.357098021894
3,PHS,0.0,0.0,28211.39653215008
3,H2,1239.4624796305513,0.0,58360.41212309702
4,Li-Ion,0.0,0.0,0.0
4,CAES,742.5299998562984,0.0,23974.717480871233
4,PHS,0.0,0.0,28211.39653215008
4,H2,1239.4624796305513,0.0,59182.57852042863
5,Li-Ion,0.0,0.0,0.0
5,CAES,567.1907157851833,0.0,24425.671554355584
5,PHS,0.0,0.0,28211.39653215008
5,H2,1239.4624796305513,0.0,60004.74491776024
6,Li-Ion,0.0,0.0,-0.0
6,CAES,231.687630169484,0.0,24609.878519831433
6,PHS,0.0,0.0,28211.39653215008
6,H2,1239.4624796305513,0.0,60826.91131509185
7,Li-Ion,-0.0,0.0,0.0
7,CAES,1242.5536777546145,0.0,25597.79074567016
7,PHS,2339.6387931012805,0.0,30280.3569888694
7,H2,1239.4624796305513,0.0,61649.07771242346
8,Li-Ion,-0.0,0.0,0.0
8,CAES,1242.5536777546145,0.0,26585.70297150889
8,PHS,20313.991593395553,0.0,48244.17492896828
8,H2,1239.4624796305513,0.0,62471.24410975507
9,Li-Ion,0.0,0.0,0.0
9,CAES,1242.5536777546145,0.0,27573.61519734762
9,PHS,20313.991593395553,0.0,66207.99286906715
9,H2,1239.4624796305513,0.0,63293.41050708668
10,Li-Ion,0.0,0.0,0.0
10,CAES,1242.5536777546145,0.0,28561.527423186348
10,PHS,20313.991593395553,0.0,84171.81080916603
10,H2,1239.4624796305513,0.0,64115.57690441829
11,Li-Ion,0.0,0.0,0.0
11,CAES,1242.5536777546145,0.0,29549.439649025077
11,PHS,20313.991593395553,0.0,102135.6287492649
11,H2,1239.4624796305513,0.0,64937.7433017499
12,Li-Ion,0.0,0.0,-0.0
12,CAES,1242.5536777546145,0.0,30537.351874863805
12,PHS,20313.991593395553,0.0,120099.44668936377
12,H2,1239.4624796305513,0.0,65759.90969908152
13,Li-Ion,-0.0,0.0,-0.0
13,CAES,1242.5536777546145,0.0,31525.264100702534
13,PHS,20313.991593395553,0.0,138063.26462946265
13,H2,1239.4624796305513,0.0,66582.07609641313
14,Li-Ion,-0.0,0.0,0.0
14,CAES,1242.5536777546145,0.0,32513.176326541263
14,PHS,20313.991593395553,0.0,156027.08256956152
14,H2,1239.4624796305513,0.0,67404.24249374475
15,Li-Ion,0.0,0.0,0.0
15,CAES,1242.5536777546145,0.0,33501.088552379995
15,PHS,20313.991593395553,0.0,173990.9005096604
15,H2,1239.4624796305513,0.0,68226.40889107635
16,Li-Ion,0.0,-0.0,0.0
16,CAES,1242.5536777546145,0.0,34489.000778218724
16,PHS,8657.542717918388,0.0,181646.83166815698
16,H2,1239.4624796305513,0.0,69048.57528840797
17,Li-Ion,0.0,-0.0,0.0
17,CAES,0.0,0.0,34489.000778218724
17,PHS,0.0,353.89021282146246,181246.64264195933
17,H2,1239.4624796305513,0.0,69870.74168573959
18,Li-Ion,0.0,-0.0,0.0
18,CAES,0.0,0.0,34489.000778218724
18,PHS,0.0,3332.4763211047893,177478.18450027434
18,H2,1239.4624796305513,0.0,70692.9080830712
19,Li-Ion,0.0,0.0,-0.0
19,CAES,0.0,0.0,34489.000778218724
19,PHS,0.0,3780.563726483585,173203.01649232797
19,H2,1239.4624796305513,0.0,71515.0744804028
20,Li-Ion,0.0,-0.0,-0.0
20,CAES,0.0,0.0,34489.000778218724
20,PHS,0.0,3759.6303887416143,168951.5204926557
20,H2,1239.4624796305513,0.0,72337.24087773442
21,Li-Ion,0.0,-0.0,0.0
21,CAES,0.0,0.0,34489.000778218724
21,PHS,0.0,3654.346085199795,164819.08295061177
21,H2,1239.4624796305513,0.0,73159.40727506604
22,Li-Ion,0.0,0.0,0.0
22,CAES,0.0,0.0,34489.000778218724
22,PHS,0.0,3237.9322813439176,161157.53787358332
22,H2,1239.4624796305513,0.0,73981.57367239766
23,Li-Ion,0.0,0.0,0.0
23,CAES,0.0,0.0,34489.000778218724
23,PHS,0.0,2270.716020041197,158589.74820348542
23,H2,1239.4624796305513,0.0,74803.74006972928
24,Li-Ion,0.0,-0.0,0.0
24,CAES,0.0,0.0,34489.000778218724
24,PHS,0.0,929.8753087651096,157538.21899804877
24,H2,1239.4624796305513,0.0,75625.9064670609
25,Li-Ion,0.0,-0.0,-0.0
25,CAES,0.0,0.0,34489.000778218724
25,PHS,0.0,541.7308854151847,156925.6144454474
25,H2,1239.4624796305513,0.0,76448.07286439251
26,Li-Ion,0.0,-0.0,-0.0
26,CAES,0.0,532.984745988403,33818.63539656476
26,PHS,0.0,-0.0,156925.6144454474
26,H2,1239.4624796305513,0.0,77270.23926172413
27,Li-Ion,0.0,0.0,0.0
27,CAES,0.0,0.0,33818.63539656476
27,PHS,0.0,719.1285596369544,156112.40360331195
27,H2,1239.4624796305513,0.0,78092.40565905573
28,Li-Ion,0.0,0.0,0.0
28,CAES,0.0,0.0,33818.63539656476
28,PHS,0.0,933.7020874926128,155056.54696864175
28,H2,1239.4624796305513,0.0,78914.57205638735
29,Li-Ion,0.0,-0.0,0.0
29,CAES,0.0,0.0,33818.63539656476
29,PHS,0.0,2037.3166555970895,152752.69187765344
29,H2,1239.4624796305513,0.0,79736.73845371896
30,Li-Ion,0.0,0.0,0.0
30,CAES,0.0,0.0,33818.63539656476
30,PHS,0.0,3496.3663491681955,148798.9022733906
30,H2,1239.4624796305513,0.0,80558.90485105058
31,Li-Ion,0.0,0.0,0.0
31,CAES,0.0,0.0,33818.63539656476
31,PHS,0.0,1443.7804097505946,147166.23469658807
31,H2,1239.4624796305513,0.0,81381.07124838218
32,Li-Ion,-0.0,0.0,-0.0
32,CAES,1242.5536777546145,0.0,34806.54762240349
32,PHS,14576.570329346985,0.0,160056.40718600512
32,H2,1239.4624796305513,0.0,82203.2376457138
33,Li-Ion,-0.0,0.0,-0.0
33,CAES,1242.5536777546145,0.0,35794.459848242215
33,PHS,20313.991593395553,0.0,178020.225126104
33,H2,1239.4624796305513,0.0,83025.40404304542
34,Li-Ion,-0.0,0.0,0.0
34,CAES,1242.5536777546145,0.0,36782.372074080944
