Scenario,Hour,Solar PV Generation (MW),Solar PV Curtailment (MW),Wind Generation (MW),Wind Curtailment (MW),All Thermal Generation (MW),Hydro Generation (MW),Nuclear Generation (MW),Other Renewables Generation (MW),Imports (MW),Storage Charge/Discharge (MW),Exports (MW),Load (MW),Net Load (MW)
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,1,0.0,0.0,14816.937202610576,0.0,0.0,2350.85995,2272.82328,1789.27366,0,-3004.935845389425,0,24234.829938000003,3004.9358453894265
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,2,0.0,0.0,14410.630374025868,0.0,0.0,2359.65165,2273.72072,1778.90751,0,-2584.5982479741306,0,23407.508502,2584.598247974133
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,3,0.0,0.0,14747.74732252515,0.0,0.0,2063.74177,2274.35167,1775.3033,0,-1902.2765954748515,0,22763.420658000003,1902.276595474852
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,4,0.0,0.0,14792.062681425567,0.0,0.0,1929.00365,2274.18453,1772.69607,0,-1638.2479405744382,0,22406.194872,1638.2479405744334
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,5,0.0,0.0,14549.301092585867,0.0,0.0,1978.7031,2273.92119,1776.05623,0,-1861.9836894141354,0,22439.965302,1861.9836894141336
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,6,0.0,0.0,14483.697040729,0.0,0.0,2274.47982,2274.6642,1774.67763,0,-2141.334880271007,0,22948.853571000003,2141.3348802710043
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,7,5863.6613962950005,0.0,14537.196151967397,0.0,0.0,2541.02594,2274.96771,1777.01514,0,3211.893756262394,0,23781.972582000002,-3211.893756262395
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,8,34414.965652745,0.0,14847.038018924366,0.0,0.0,2377.80212,2274.36005,1772.26723,0,31920.564297669363,0,23765.868774000002,-31920.564297669363
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,9,36961.332477353746,10850.301778652261,14322.890885022614,0.0,0.0,1850.3501,2273.97646,1765.77912,0,34078.04468037636,0,23096.284362,-44928.346459028624
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,10,37144.189320917656,8841.714941559345,13493.098538458704,0.0,0.0,1856.33584,2273.79651,1728.63502,0,34078.04468037636,0,22418.010549000002,-42919.7596219357
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,11,35824.71394125416,6744.508696229837,14313.660964122198,0.0,0.0,1690.7218,2273.82441,1729.4593,0,34078.04468037636,0,21754.335735,-40822.55337660619
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,12,34685.03863223801,7136.068372290989,14904.361265138361,0.0,0.0,1591.59286,2273.3104,1717.51558,0,34078.04468037636,0,21093.774057000002,-41214.11305266735
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,13,34016.83033513469,10460.018257377313,15181.503148241665,0.0,0.0,1502.94835,2273.2278,1725.88248,0,34078.04468037636,0,20622.347433,-44538.06293775367
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,14,33799.53265949653,13513.434038824467,15406.917912879833,0.0,0.0,1568.58219,2272.73277,1728.15225,0,34078.04468037636,0,20697.873102,-47591.47871920083
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,15,34919.56191507522,6012.241746173786,14853.755349301147,0.0,0.0,1691.31252,2273.15628,1732.26885,0,34078.04468037636,0,21392.010233999998,-40090.286426550156
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,16,13672.858758463,0.0,15296.692363393617,0.0,0.0,2100.98322,2272.64222,1788.5111,0,12431.824778856615,0,22699.862883,-12431.824778856615
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,17,0.0,0.0,16106.631197573808,0.0,0.0,2797.40289,2272.26654,1865.41948,0,-2275.8933504261895,0,25317.613458,2275.893350426192
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,18,0.0,0.0,16268.416360414125,0.0,0.0,3241.56259,2272.95466,1964.17257,0,-5221.828715585879,0,28968.934896000002,5221.828715585878
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,19,0.0,0.0,16379.104127352106,0.0,0.0,3443.81907,2273.316,1970.43835,0,-5657.7113996478965,0,29724.388947000003,5657.711399647897
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,20,0.0,0.0,16355.623946783133,0.0,0.0,3278.70458,2272.44109,1967.35514,0,-5651.3643252168695,0,29525.489082000004,5651.364325216871
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,21,0.0,0.0,16474.354867463146,0.0,0.0,2893.49016,2272.43881,1887.29345,0,-5551.910233536852,0,29079.487521,5551.910233536853
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,22,0.0,0.0,16221.282227090134,0.0,0.0,2554.17395,2272.75623,1847.9486,0,-5130.986357909867,0,28027.147365,5130.9863579098665
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,23,0.0,0.0,15774.107835131812,0.0,0.0,2272.69783,2273.49363,1801.85677,0,-4196.4415958681875,0,26318.597661,4196.4415958681875
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,24,0.0,0.0,15548.891387131423,0.0,0.0,2125.45029,2274.43377,1781.79636,0,-2886.3549668685755,0,24616.926774,2886.3549668685755
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,25,0.0,0.0,14946.90713800278,0.0,0.0,1976.73049,2272.10748,1779.85401,0,-2541.3247689972213,0,23516.923887,2541.324768997221
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,26,0.0,0.0,14170.604721559483,0.0,0.0,1916.08734,2271.68539,1775.86374,0,-2608.6948094405143,0,22742.936001,2608.694809440515
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,27,0.0,0.0,13762.591311822642,0.0,0.0,1767.92297,2272.17995,1779.45385,0,-2796.0834481773554,0,22378.23153,2796.083448177359
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,28,0.0,0.0,13565.546859054955,0.0,0.0,1813.7194,2271.74,1778.60586,0,-3072.0582539450497,0,22501.670373,3072.058253945046
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,29,0.0,0.0,13141.584382203915,0.0,0.0,1853.20168,2271.91046,1777.53263,0,-4301.963591796086,0,23346.192744,4301.963591796085
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,30,0.0,0.0,12767.197219351121,0.0,0.0,2374.9343,2271.79811,1813.03012,0,-5886.12002364888,0,25113.079773,5886.12002364888
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,31,5894.803064595,0.0,12413.923917960454,0.0,0.0,3071.83127,2271.83689,1823.61862,0,-1983.6701654445496,0,27459.683928000002,1983.670165444548
GenMix_Target=1.0_P_Capexx1.0_load_datax0.9,32,34340.775598851,0.0,12128.074497961969,0.0,0.0,3060.75883,2271.82665,1817.28301,0,25017.29211181297,0,28601.426475,-25017.29211181297
