Scenario,Hour,Solar PV Generation (MW),Solar PV Curtailment (MW),Wind Generation (MW),Wind Curtailment (MW),All Thermal Generation (MW),Hydro Generation (MW),Nuclear Generation (MW),Other Renewables Generation (MW),Imports (MW),Storage Charge/Discharge (MW),Exports (MW),Load (MW),Net Load (MW)
GenMix_Target=0.0_P_Capexx1.2_load_datax1.1,1,0.0,0.0,15081.358247225611,0.0,4897.0,2350.85995,2272.82328,1789.27366,0,-3229.032564774394,0,29620.347702000003,8126.032564774391
GenMix_Target=0.0_P_Capexx1.2_load_datax1.1,2,0.0,0.0,14725.805231568225,0.0,4897.0,2359.65165,2273.72072,1778.90751,0,-2574.0919464317767,0,28609.177058,7471.091946431776
GenMix_Target=0.0_P_Capexx1.2_load_datax1.1,3,0.0,0.0,15115.611822405894,0.0,4897.0,2063.74177,2274.35167,1775.3033,0,-1695.9500195941114,0,27821.958582000003,6592.950019594109
GenMix_Target=0.0_P_Capexx1.2_load_datax1.1,4,0.0,0.0,15150.130963108822,0.0,4897.0,1929.00365,2274.18453,1772.69607,0,-1362.3340748911799,0,27385.349288,6259.334074891179
GenMix_Target=0.0_P_Capexx1.2_load_datax1.1,5,0.0,0.0,14895.845219061292,0.0,4897.0,1978.7031,2273.92119,1776.05623,0,-1605.0985189387131,0,27426.624258000003,6502.098518938712
GenMix_Target=0.0_P_Capexx1.2_load_datax1.1,6,0.0,0.0,14808.861911005568,0.0,4897.0,2274.47982,2274.6642,1774.67763,0,-2018.915247994438,0,28048.598809000003,6915.915247994435
GenMix_Target=0.0_P_Capexx1.2_load_datax1.1,7,6152.774910922106,0.0,14825.77985679817,0.0,4897.0,2541.02594,2274.96771,1777.01514,0,3401.7081797202704,0,29066.855378000004,1495.2918202797282
GenMix_Target=0.0_P_Capexx1.2_load_datax1.1,8,35796.570058927624,0.0,15158.471158223823,0.0,4897.0,2377.80212,2274.36005,1772.26723,0,33229.29767115145,0,29047.172946000002,-28332.297671151446
GenMix_Target=0.0_P_Capexx1.2_load_datax1.1,9,42657.993694896926,7817.066833027813,14854.295621726626,0.0,0.0,1850.3501,2273.97646,1765.77912,0,35173.60299862355,0,28228.791998,-42990.669831651365
GenMix_Target=0.0_P_Capexx1.2_load_datax1.1,10,42627.94032600381,5936.958828014096,14086.68597361974,0.0,0.0,1856.33584,2273.79651,1728.63502,0,35173.60299862355,0,27399.790671000002,-41110.56182663764
GenMix_Target=0.0_P_Capexx1.2_load_datax1.1,11,41209.47249526841,3739.1799528634365,14858.757558355135,0.0,0.0,1690.7218,2273.82441,1729.4593,0,35173.60299862355,0,26588.632565000004,-38912.78295148698
GenMix_Target=0.0_P_Capexx1.2_load_datax1.1,12,40057.15278377461,4097.330551196152,15315.310777848945,0.0,0.0,1591.59286,2273.3104,1717.51558,0,35173.60299862355,0,25781.279403000004,-39270.9335498197
GenMix_Target=0.0_P_Capexx1.2_load_datax1.1,13,39330.9896531079,7642.980977245294,15545.646022515657,0.0,0.0,1502.94835,2273.2278,1725.88248,0,35173.60299862355,0,25205.091307000002,-42816.583975868845
GenMix_Target=0.0_P_Capexx1.2_load_datax1.1,14,39184.43119916812,10784.28619103726,15717.105047455438,0.0,0.0,1568.58219,2272.73277,1728.15225,0,35173.60299862355,0,25297.400458000004,-45957.88918966081
GenMix_Target=0.0_P_Capexx1.2_load_datax1.1,15,40453.350261849235,2776.0103563479133,15169.30537277432,0.0,0.0,1691.31252,2273.15628,1732.26885,0,35173.60299862355,0,26145.790286,-37949.61335497147
GenMix_Target=0.0_P_Capexx1.2_load_datax1.1,16,14427.624128507212,0.0,15637.004530934939,0.0,4897.0,2100.98322,2272.64222,1788.5111,0,13379.488342442153,0,27744.276857,-8482.48834244215
