Scenario,Hour,Solar PV Generation (MW),Solar PV Curtailment (MW),Wind Generation (MW),Wind Curtailment (MW),All Thermal Generation (MW),Hydro Generation (MW),Nuclear Generation (MW),Other Renewables Generation (MW),Imports (MW),Storage Charge/Discharge (MW),Exports (MW),Load (MW),Net Load (MW)
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,1,0.0,0.0,14953.914543121296,0.0,4897.0,2350.85995,2272.82328,1789.27366,0,-3356.476268878708,0,29620.347702000003,8253.476268878707
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,2,0.0,0.0,14565.860946005741,0.0,4897.0,2359.65165,2273.72072,1778.90751,0,-2734.0362319942587,0,28609.177058,7631.03623199426
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,3,0.0,0.0,14928.021198849892,0.0,4897.0,2063.74177,2274.35167,1775.3033,0,-1883.5406431501096,0,27821.958582000003,6780.540643150111
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,4,0.0,0.0,14971.261627322603,0.0,4897.0,1929.00365,2274.18453,1772.69607,0,-1541.2034106773988,0,27385.349288,6438.203410677398
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,5,0.0,0.0,14721.467250586436,0.0,4897.0,1978.7031,2273.92119,1776.05623,0,-1779.4764874135699,0,27426.624258000003,6676.476487413567
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,6,0.0,0.0,14663.913445333608,0.0,4897.0,2274.47982,2274.6642,1774.67763,0,-2163.8637136663956,0,28048.598809000003,7060.863713666395
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,7,6191.946245289873,0.0,14724.194355444202,0.0,4897.0,2541.02594,2274.96771,1777.01514,0,3339.2940127340726,0,29066.855378000004,1557.7059872659283
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,8,35983.760506348815,0.0,15040.201020720357,0.0,4897.0,2377.80212,2274.36005,1772.26723,0,33298.217981069174,0,29047.172946000002,-28401.21798106917
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,9,43344.789504765016,7491.132607910571,14515.669201740502,0.0,0.0,1850.3501,2273.97646,1765.77912,0,35521.77238850551,0,28228.791998,-43012.90499641609
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,10,43399.33969981993,5514.981622717525,13663.455989685575,0.0,0.0,1856.33584,2273.79651,1728.63502,0,35521.77238850551,0,27399.790671000002,-41036.75401122303
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,11,41930.7288284055,3340.307168062842,14485.67061510001,0.0,0.0,1690.7218,2273.82441,1729.4593,0,35521.77238850551,0,26588.632565000004,-38862.07955656835
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,12,40653.43556600537,3817.1916357211812,15067.197385500152,0.0,0.0,1591.59286,2273.3104,1717.51558,0,35521.77238850551,0,25781.279403000004,-39338.9640242267
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,13,39880.7274769906,7431.572554627564,15344.077588514912,0.0,0.0,1502.94835,2273.2278,1725.88248,0,35521.77238850551,0,25205.091307000002,-42953.344943133074
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,14,39660.5786725884,10667.96035543771,15589.126963917106,0.0,0.0,1568.58219,2272.73277,1728.15225,0,35521.77238850551,0,25297.400458000004,-46189.73274394321
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,15,39281.79077335051,4258.860625928544,15043.64945564322,0.0,0.0,1691.31252,2273.15628,1732.26885,0,33876.387592993735,0,26145.790286,-38135.24821892228
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,16,14529.885576635455,0.0,15504.191716975269,0.0,4897.0,2100.98322,2272.64222,1788.5111,0,13348.936976610727,0,27744.276857,-8451.936976610723
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,17,0.0,0.0,16353.507116590532,0.0,4897.0,2797.40289,2272.26654,1865.41948,0,-2758.1537554094675,0,30943.749782000003,7655.15375540947
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,18,0.0,0.0,16518.87161457669,0.0,4897.0,3241.56259,2272.95466,1964.17257,0,-6511.914549423313,0,35406.475984000004,11408.914549423316
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,19,0.0,0.0,16631.170276271838,0.0,4897.0,3443.81907,2273.316,1970.43835,0,-7114.065016728167,0,36329.808713000006,12011.065016728167
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,20,0.0,0.0,16605.27375356711,0.0,4897.0,3278.70458,2272.44109,1967.35514,0,-7065.9343144328905,0,36086.708878000005,11962.934314432894
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,21,0.0,0.0,16723.199226868543,0.0,4897.0,2893.49016,2272.43881,1887.29345,0,-6868.174212131458,0,35541.595859,11765.174212131458
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,22,0.0,0.0,16470.932033874116,0.0,4897.0,2554.17395,2272.75623,1847.9486,0,-6212.5915211258925,0,34255.402335000006,11109.59152112589
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,23,0.0,0.0,16019.296702588244,0.0,4897.0,2272.69783,2273.49363,1801.85677,0,-4902.829986411756,0,32167.174919,9799.829986411756
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,24,0.0,0.0,15790.259542663802,0.0,4897.0,2125.45029,2274.43377,1781.79636,0,-3218.4149833362007,0,30087.354946000003,8115.414983336201
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,25,0.0,0.0,15182.7404243695,0.0,4897.0,1976.73049,2272.10748,1779.85401,0,-2634.474568630509,0,28742.906973000005,7531.474568630505
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,26,0.0,0.0,14396.173716973466,0.0,4897.0,1916.08734,2271.68539,1775.86374,0,-2540.111592026533,0,27796.921779,7437.111592026534
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,27,0.0,0.0,13989.54402452804,0.0,4897.0,1767.92297,2272.17995,1779.45385,0,-2645.0710754719626,0,27351.171870000006,7542.071075471965
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,28,0.0,0.0,13784.3005304963,0.0,4897.0,1813.7194,2271.74,1778.60586,0,-2956.6757765037046,0,27502.041567000004,7853.675776503704
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,29,0.0,0.0,13342.514948831962,0.0,4897.0,1853.20168,2271.91046,1777.53263,0,-4392.075857168044,0,28534.235576000003,9289.075857168042
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,30,0.0,0.0,12950.325333662753,0.0,4897.0,2374.9343,2271.79811,1813.03012,0,-6386.676303337247,0,30693.764167,11283.676303337248
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,31,6225.993089244695,0.0,12579.66262989341,0.0,4897.0,3071.83127,2271.83689,1823.61862,0,-2691.8934128618985,0,33561.835912,7588.893412861898
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,32,35874.708344596955,0.0,12287.968553275969,0.0,4897.0,3060.75883,2271.82665,1817.28301,0,25252.24636287292,0,34957.299025,-20355.246362872924
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,33,49773.150291698934,0.0,11395.73361570338,0.0,2435.7114381032006,2379.734,2272.13217,1807.16665,0,35521.77238850551,0,34541.855777000004,-33086.06095040231
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,34,48341.37480866296,0.0,10274.382627353018,0.0,2539.1879789777668,1821.02956,2273.33141,1764.80068,0,33876.387592993735,0,33137.719472000004,-31337.199614015968
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,35,44840.97562926513,0.0,9131.121777349108,0.0,4897.0,1608.68114,2272.58316,1764.80052,0,32651.38919761424,0,31863.773029000004,-27754.389197614233
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,36,43363.515349988586,0.0,9253.395819581252,0.0,4897.0,1569.38605,2271.64759,1743.28636,0,32313.81230656984,0,30784.418863000003,-27416.812306569835
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,37,45854.91006121075,0.0,8811.329991350685,0.0,4897.0,1517.2403,2271.13844,1717.17108,0,34961.24544956144,0,30107.544423000003,-30064.245449561433
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,38,49367.08860465668,0.0,7950.384722395424,0.0,2792.507061453405,1499.82831,2271.9547,1749.82994,0,35521.77238850551,0,30109.82095,-32729.265327052104
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,39,42043.58636623204,0.0,6441.071794482261,0.0,4897.0,1518.98264,2272.15452,1767.32966,0,28332.5728297143,0,30607.552151,-23435.572829714303
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,40,13435.577014490416,0.0,6401.694516935917,0.0,4897.0,1771.344,2271.19906,1790.4726,0,-1399.3405785736663,0,31966.627770000003,6296.3405785736695
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,41,0.0,0.0,6386.331160952959,0.0,4897.0,2886.11495,2270.77884,1843.44536,0,-16367.856929047044,0,34651.52724,21264.856929047044
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,42,0.0,0.0,5763.178098866672,0.0,4897.0,3355.08242,2272.02612,1956.69124,0,-20298.280953133326,0,38542.258832,25195.280953133326
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,43,0.0,0.0,5102.869408571409,0.0,4897.0,3362.43615,2271.38148,1955.1573,0,-21724.206669428604,0,39313.05100800001,26621.2066694286
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,44,0.0,0.0,5103.903834142584,0.0,4897.0,3702.80186,2270.77099,1957.61878,0,-21172.04928585743,0,39104.14475000001,26069.04928585742
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,45,0.0,0.0,4111.483740336753,0.0,4897.0,3528.70561,2271.31488,1911.60531,0,-21812.357498663252,0,38532.467039,26709.357498663252
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,46,0.0,0.0,3616.380149844699,0.0,4897.0,3009.23935,2271.40369,1874.86184,0,-21333.20506215531,0,37002.090092000006,26230.205062155306
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,47,0.0,0.0,2856.690144350294,0.0,4897.0,2452.75731,2271.84025,1820.72351,0,-20289.909217649703,0,34588.920432,25186.909217649703
GenMix_Target=0.0_P_Capexx1.0_load_datax1.1,48,0.0,0.0,2166.884943667821,0.0,4897.0,2105.84629,2273.26322,1772.14567,0,-19043.12376033218,0,32258.263884000004,23940.123760332182
